Using  cpu
IQN(
  (head): Linear(in_features=4, out_features=512, bias=True)
  (cos_embedding): Linear(in_features=64, out_features=512, bias=True)
  (ff_1): Linear(in_features=512, out_features=512, bias=True)
  (ff_2): Linear(in_features=512, out_features=2, bias=True)
)

Episode 1	Frame 20 	Average100 Score: 20.00
Episode 2	Frame 46 	Average100 Score: 23.00
Episode 3	Frame 92 	Average100 Score: 30.67
Episode 4	Frame 109 	Average100 Score: 27.25
Episode 5	Frame 131 	Average100 Score: 26.20
Episode 6	Frame 149 	Average100 Score: 24.83
Episode 7	Frame 165 	Average100 Score: 23.57
Episode 8	Frame 180 	Average100 Score: 22.50
Episode 9	Frame 211 	Average100 Score: 23.44
Episode 10	Frame 221 	Average100 Score: 22.10
Episode 11	Frame 272 	Average100 Score: 24.73
Episode 12	Frame 296 	Average100 Score: 24.67
Episode 13	Frame 316 	Average100 Score: 24.31
Episode 14	Frame 360 	Average100 Score: 25.71
Episode 15	Frame 375 	Average100 Score: 25.00
Episode 16	Frame 412 	Average100 Score: 25.75
Episode 17	Frame 430 	Average100 Score: 25.29
Episode 18	Frame 459 	Average100 Score: 25.50
Episode 19	Frame 478 	Average100 Score: 25.16
Episode 20	Frame 509 	Average100 Score: 25.45
Episode 21	Frame 530 	Average100 Score: 25.24
Episode 22	Frame 546 	Average100 Score: 24.82
Episode 23	Frame 573 	Average100 Score: 24.91
Episode 24	Frame 628 	Average100 Score: 26.17
Episode 25	Frame 655 	Average100 Score: 26.20
Episode 26	Frame 676 	Average100 Score: 26.00
Episode 27	Frame 705 	Average100 Score: 26.11
Episode 28	Frame 715 	Average100 Score: 25.54
Episode 29	Frame 729 	Average100 Score: 25.14
Episode 30	Frame 740 	Average100 Score: 24.67
Episode 31	Frame 753 	Average100 Score: 24.29
Episode 32	Frame 770 	Average100 Score: 24.06
Episode 33	Frame 779 	Average100 Score: 23.61
Episode 34	Frame 810 	Average100 Score: 23.82
Episode 35	Frame 826 	Average100 Score: 23.60
Episode 36	Frame 847 	Average100 Score: 23.53
Episode 37	Frame 861 	Average100 Score: 23.27
Episode 38	Frame 903 	Average100 Score: 23.76
Episode 39	Frame 925 	Average100 Score: 23.72
Episode 40	Frame 941 	Average100 Score: 23.52
Episode 41	Frame 954 	Average100 Score: 23.27
Episode 42	Frame 966 	Average100 Score: 23.00
Episode 43	Frame 982 	Average100 Score: 22.84
Episode 44	Frame 1005 	Average100 Score: 22.84
Episode 45	Frame 1073 	Average100 Score: 23.84
Episode 46	Frame 1157 	Average100 Score: 25.15
Episode 47	Frame 1167 	Average100 Score: 24.83
Episode 48	Frame 1180 	Average100 Score: 24.58
Episode 49	Frame 1198 	Average100 Score: 24.45
Episode 50	Frame 1247 	Average100 Score: 24.94
Episode 51	Frame 1265 	Average100 Score: 24.80
Episode 52	Frame 1277 	Average100 Score: 24.56
Episode 53	Frame 1291 	Average100 Score: 24.36
Episode 54	Frame 1303 	Average100 Score: 24.13
Episode 55	Frame 1329 	Average100 Score: 24.16
Episode 56	Frame 1343 	Average100 Score: 23.98
Episode 57	Frame 1352 	Average100 Score: 23.72
Episode 58	Frame 1375 	Average100 Score: 23.71
Episode 59	Frame 1421 	Average100 Score: 24.08
Episode 60	Frame 1436 	Average100 Score: 23.93
Episode 61	Frame 1470 	Average100 Score: 24.10
Episode 62	Frame 1489 	Average100 Score: 24.02
Episode 63	Frame 1532 	Average100 Score: 24.32
Episode 64	Frame 1560 	Average100 Score: 24.38
Episode 65	Frame 1575 	Average100 Score: 24.23
Episode 66	Frame 1593 	Average100 Score: 24.14
Episode 67	Frame 1606 	Average100 Score: 23.97
Episode 68	Frame 1632 	Average100 Score: 24.00
Episode 69	Frame 1652 	Average100 Score: 23.94
Episode 70	Frame 1664 	Average100 Score: 23.77
Episode 71	Frame 1717 	Average100 Score: 24.18
Episode 72	Frame 1753 	Average100 Score: 24.35
Episode 73	Frame 1783 	Average100 Score: 24.42
Episode 74	Frame 1792 	Average100 Score: 24.22
Episode 75	Frame 1808 	Average100 Score: 24.11
Episode 76	Frame 1823 	Average100 Score: 23.99
Episode 77	Frame 1838 	Average100 Score: 23.87
Episode 78	Frame 1867 	Average100 Score: 23.94
Episode 79	Frame 1891 	Average100 Score: 23.94
Episode 80	Frame 1908 	Average100 Score: 23.85
Episode 81	Frame 1957 	Average100 Score: 24.16
Episode 82	Frame 1969 	Average100 Score: 24.01
Episode 83	Frame 2018 	Average100 Score: 24.31
Episode 84	Frame 2037 	Average100 Score: 24.25
Episode 85	Frame 2057 	Average100 Score: 24.20
Episode 86	Frame 2084 	Average100 Score: 24.23
Episode 87	Frame 2134 	Average100 Score: 24.53
Episode 88	Frame 2149 	Average100 Score: 24.42
Episode 89	Frame 2176 	Average100 Score: 24.45
Episode 90	Frame 2221 	Average100 Score: 24.68
Episode 91	Frame 2234 	Average100 Score: 24.55
Episode 92	Frame 2255 	Average100 Score: 24.51
Episode 93	Frame 2271 	Average100 Score: 24.42
Episode 94	Frame 2299 	Average100 Score: 24.46
Episode 95	Frame 2321 	Average100 Score: 24.43
Episode 96	Frame 2367 	Average100 Score: 24.66
Episode 97	Frame 2388 	Average100 Score: 24.62
Episode 98	Frame 2404 	Average100 Score: 24.53
Episode 99	Frame 2434 	Average100 Score: 24.59
Episode 100	Frame 2457 	Average100 Score: 24.57
Episode 100	Frame 2457	Average100 Score: 24.57

Episode 101	Frame 2481 	Average100 Score: 24.61
Episode 102	Frame 2511 	Average100 Score: 24.65
Episode 103	Frame 2534 	Average100 Score: 24.42
Episode 104	Frame 2568 	Average100 Score: 24.59
Episode 105	Frame 2581 	Average100 Score: 24.50
